Fecha publicación,CCAA,Población > 70 años con dosis de recuerdo,% Población > 70 años con dosis de recuerdo,Población 60-69 años con dosis de recuerdo,% Población 60-69 años con dosis de recuerdo,Población 50-59 años con dosis de recuerdo,% Población 50-59 años con dosis de recuerdo,Población 40-49 años con dosis de recuerdo,% Población 40-49 años con dosis de recuerdo,Personas vacunadas con dosis adicionales,% Personas vacunadas con dosis adicionales
2022-01-05,Andalucía,952.048,"88,01",692.964,"74,69",197.073,"16,22",132.764,"10,59",149.023,"46,78"
2022-01-05,Aragón,195.180,"88,97",119.317,"77,58",48.716,"26,24",32.224,"17,13",30.922,"52,67"
2022-01-05,Asturias,188.524,"93,17",133.752,"90,53",114.525,"74,91",49.511,"32,89",38.449,"84,95"
2022-01-05,Baleares,110.361,"84,57",71.932,"64,88",49.678,"32,89",19.250,"11,34",23.956,"47,07"
2022-01-05,Canarias,203.518,"83,68",149.123,"67,06",132.933,"41,48",72.463,"22,85",80.903,"60,32"
2022-01-05,Cantabria,89.505,"91,22",67.670,"88,34",28.076,"33,27",17.215,"19,52",18.396,"82,93"
2022-01-05,Castilla y León,441.183,"92,26",278.083,"86,44",148.903,"42,34",70.714,"22,15",75.829,"79,33"
2022-01-05,Castilla La Mancha,266.295,"90,12",180.291,"82,24",120.489,"42,89",57.512,"20,57",59.468,"76,95"
2022-01-05,Cataluña,925.486,"86,44",606.412,"76,65",349.054,"33,98",221.925,"19,55",167.921,"48,36"
2022-01-05,C. Valenciana,661.437,"91,11",464.840,"81,72",214.542,"30,07",134.924,"17,92",162.799,"77,16"
2022-01-05,Extremadura,151.994,"87,73",114.893,"86,91",74.487,"46,29",29.081,"20,03",32.710,"82,05"
2022-01-05,Galicia,496.823,"93,37",322.185,"92,98",346.455,"88,61",182.385,"44,65",107.656,"86,93"
2022-01-05,La Rioja,43.660,"84,30",30.890,"81,93",14.220,"31,57",9.503,"20,12",11.360,"80,57"
2022-01-05,Madrid,757.204,"85,72",475.097,"69,69",359.474,"38,19",212.206,"20,63",153.178,"64,08"
2022-01-05,Murcia,150.614,"85,48",104.288,"71,54",58.706,"28,37",39.337,"17,03",44.297,"66,42"
2022-01-05,Navarra,90.978,"92,83",61.964,"86,08",30.354,"33,06",15.299,"16,04",18.813,"79,01"
2022-01-05,País Vasco,332.675,"88,85",219.865,"80,25",147.919,"45,88",46.880,"14,65",74.076,"74,82"
2022-01-05,Ceuta,5.014,"80,43",5.562,"73,68",3.707,"35,24",2.317,"21,01",1.292,"34,82"
2022-01-05,Melilla,3.961,"73,35",4.651,"63,42",5.358,"53,95",3.888,"37,40",1.062,"23,69"
2022-01-05,Fuerzas Armadas,10,"24,39",2.014,"56,19",4.177,"44,08",9.224,"41,76",1.004,"79,30"
2022-01-05,Sanidad Exterior,7,"9,09",42,"15,11",102,"11,85",101,"5,68",113,"2,57"
2022-01-05,España,6.066.477,"88,61",4.105.835,"78,23",2.448.948,"36,70",1.358.723,"19,48",1.253.227,"63,26"
