CCAA,provincia,localidad,nombre,lat,long
Madrid,Madrid,Madrid,Tryp Madrid Airport Suites,40.4455692,-3.5436074
Madrid,Madrid,Madrid,VP Madroño,40.43513129999999,-3.676565499999999
Madrid,Madrid,Madrid,Hotel Sancho,40.4001083,-3.6943285
Madrid,Madrid,Madrid,VP Jardín de Recoletos,40.422314,-3.689194
Madrid,Madrid,Madrid,Apartamentos Turísticos Compostela Suites,40.4475675,-3.5803134
Madrid,Madrid,Madrid,Apartamentos Suites Aeropuerto,40.446193,-3.5829454
Madrid,Madrid,Madrid,Apartamentos Goya 75,40.4251403,-3.6789229
Madrid,Madrid,Madrid,Apartamentos Suites Florida,40.44906659999999,-3.5826057
Madrid,Madrid,Madrid,Colegio Mayor Argentino,40.43583330000001,-3.7316667
Madrid,Madrid,Madrid,Hostal Madrid Centro,40.4164744,-3.6991673
Madrid,Madrid,Pinto,Apartamentos Plaza de Santiago,40.24566859999999,-3.7003307
Madrid,Madrid,Madrid,Apartamentos TH Aravaca,40.4638889,-3.7991667
Madrid,Madrid,Madrid,Apartamentos TH La Florida,40.467844,-3.8007127
Murcia,Murcia,Águilas,Hostal Isla del Fraile,37.41811209999999,-1.5552504
Murcia,Murcia,Cartagena,Hotel Los Habaneros,37.6035031,-0.9788112999999999
Murcia,Murcia,Murcia,Hotel El Churra,37.9929445,-1.1283315
Murcia,Murcia,Puerto Lumbreras,Hotel Riscal,37.575918,-1.801877
Murcia,Murcia,San Pedro de Pinatar,Apartamentos Apartahotel Bahía,37.8243019,-0.7859748999999999
Navarra,Navarra,Buñuel,Restaurante Plaza-Hostal Villa de Buñuel,41.9805025,-1.4454533
Navarra,Navarra,Burlada,AH San Fermín Pamplona,42.8309348,-1.6195829
