NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
CRED APEDADERO,"CR A-3 P.K. 306,50 I",Siete Aguas,Valencia,39.4560089,-0.90451861,,ABIERTO 24h.,962138045,SI,SI,
CRED MORATILLAS,"CR A-3 P.K. 304,00 D",Siete Aguas,Valencia,39.45056642,-0.92966714,,De Lunes a Domingo de 06:00 a 22:00 horas,962340401,SI,SI,
ES GUILLERMO IURGI LOPEZ DE IPIÑA S,CR N-332 P.K. 238 I,Tavernes de la Valld,Valencia,39.08731012,-0.24858169,,De Lunes a Domingo de 07:00 a 19:00 horas,625449515,SI,,SI
E.S. TITAGUAS,"CR CV-35 P.K. 87,00 D",Titaguas,Valencia,39.8620491,-1.08355602,,De Lunes a Viernes de 07:45 a 14:30 horas; De Lunes a Jueves de 16:30 a 20:00 horas; Viernes de 16:30 a 21:00 horas; Festivo de 09:00 a 14:30 horas; Festivo de 16:30 a 21:00 horas,961634264,SI,,
CRED TORRENTE,"CL CARRETERA PICAÑA, 24",Torrente,Valencia,39.43906299,-0.45639136,,ABIERTO 24h.,961557975,SI,SI,
E.S. AUTO-SERVI.ROMERO,"CR N-3 P.K. 262,00 A",Utiel,Valencia,39.56301791,-1.21364073,,ABIERTO 24h.,962170231,SI,,SI
CRED XUQUER,"CL CLARIANO, 3",Valencia,Valencia,39.47628721,-0.3522877,,De Lunes a Domingo de 06:00 a 20:00 horas,963696659,SI,SI,
CRED CÁDIZ-VALENCIA,"CL CADIZ, 98 - ESQ. A PERIS Y VALERO",Valencia,Valencia,39.45890779,-0.37172499,,De Lunes a Domingo de 06:00 a 20:00 horas,963331077,SI,SI,
CRED ARCHIDUQUE CARLOS,"CL ARCHIDUQUE, 70",Valencia,Valencia,39.46075355,-0.40001269,,De Lunes a Domingo de 06:00 a 22:00 horas,963770349,SI,SI,
E.S. CRED ECUADOR,CL AVDA EL ECUADOR (ESQ. GRAL.LLORENS) S/N,Valencia,Valencia,39.49295967,-0.38677433,,De Lunes a Domingo de 06:00 a 20:00 horas,963476046,SI,SI,
GPV-MAESTRO RODRIGO-129,"CL MAESTRO RODRIGO, S.N.",Valencia,Valencia,39.48775016,-0.40410354,,ABIERTO 24h.,963498590,SI,SI,
E.S. ASAMA CAMPANAR,"CL VALLE BALLESTERA, 44",Valencia,Valencia,39.4787422,-0.40119575,,ABIERTO 24h.,961477598,SI,SI,
ES MARTIN LOPEZ CARBURANTES SL,CR A-35 KM 27,Vallada,Valencia,38.89460161,-0.72483394,,ABIERTO 24h.,962261217,,,SI
ES NETEJAMATIC JAMC SL,"CR LLOSA DE RANES, S.N. I",Xativa,Valencia,38.99431177,-0.52433416,,De Lunes a Viernes de 08:00 a 15:00 horas; Sábado de 09:00 a 14:00 horas,609339371,SI,,
E.S. RICO MATEO S.L.,CR N-601 P.K. 159.40 I,Alcazaren,Valladolid,41.3864967,-4.68548413,,De Lunes a Viernes de 00:00 a 07:00 horas; De Lunes a Viernes de 06:30 a 22:30 horas; Sábado de 06:30 a 14:30 horas; De Sábado a Domingo de 14:30 a 24:00 horas,983609147,SI,,SI
