Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-01,1,Araba/Álava,60,1,21,1.67,35.0,2.0,61.12,61.0
2020-08-01,10,Cáceres,66,0,21,0.0,31.82,0.0,48.21,48.0
2020-08-01,11,Cádiz,214,0,53,0.0,24.77,0.0,11.57,12.0
2020-08-01,12,Castellón/Castelló,70,0,30,0.0,42.86,0.0,61.23,61.0
2020-08-01,13,Ciudad Real,79,3,31,3.8,39.24,4.0,54.48,54.0
2020-08-01,14,Córdoba,153,4,36,2.61,23.53,3.0,17.08,17.0
2020-08-01,15,"Coruña, A",320,0,76,0.0,23.75,0.0,7.42,7.0
2020-08-01,16,Cuenca,41,0,7,0.0,17.07,0.0,41.63,42.0
2020-08-01,17,Girona,44,10,24,22.73,54.55,23.0,175.64,176.0
2020-08-01,18,Granada,170,1,63,0.59,37.06,1.0,22.15,22.0
2020-08-01,19,Guadalajara,44,1,7,2.27,15.91,2.0,41.32,41.0
2020-08-01,2,Albacete,69,5,33,7.25,47.83,7.0,79.83,80.0
2020-08-01,20,Gipuzkoa,85,1,33,1.18,38.82,1.0,47.06,47.0
2020-08-01,21,Huelva,86,0,21,0.0,24.42,0.0,28.4,28.0
2020-08-01,22,Huesca,25,6,5,24.0,20.0,24.0,176.0,176.0
2020-08-01,23,Jaén,131,3,25,2.29,19.08,2.0,16.31,16.0
2020-08-01,24,León,65,0,27,0.0,41.54,0.0,63.91,64.0
2020-08-01,25,Lleida,53,19,22,35.85,41.51,36.0,145.96,146.0
2020-08-01,26,"Rioja, La",43,0,15,0.0,34.88,0.0,81.12,81.0
2020-08-01,27,Lugo,94,0,21,0.0,22.34,0.0,23.77,24.0
2020-08-01,28,Madrid,1051,37,425,3.52,40.44,4.0,4.18,4.0
2020-08-01,29,Málaga,333,2,90,0.6,27.03,1.0,8.3,8.0
2020-08-01,3,Alicante/Alacant,348,8,116,2.3,33.33,2.0,10.24,10.0
2020-08-01,30,Murcia,431,8,92,1.86,21.35,2.0,5.39,5.0
2020-08-01,31,Navarra,110,1,49,0.91,44.55,1.0,41.33,41.0
2020-08-01,32,Ourense,84,0,28,0.0,33.33,0.0,39.68,40.0
2020-08-01,33,Asturias,254,4,43,1.57,16.93,2.0,7.28,7.0
2020-08-01,34,Palencia,16,0,11,0.0,68.75,0.0,429.69,430.0
2020-08-01,35,"Palmas, Las",261,1,97,0.38,37.16,0.0,14.38,14.0
2020-08-01,36,Pontevedra,226,1,67,0.44,29.65,0.0,13.31,13.0
